"","ln(Policies)","ln(Claims)"
"","b/se","b/se"
"τ = -4 (3+ yrs pre)","-.0213382","-.0261583*"
"",".0220978",".0151569"
"τ = -3 (2-3 yrs pre)","-.0234384","-.0286461"
"",".0164566",".0253842"
"τ = -2 (1-2 yrs pre)","-.0119933","-.0176731"
"",".0094748",".0180916"
"τ = 0 (0-1 yr post)","-.0160439",".0015392"
"",".0121325",".0195119"
"τ = +1 (1-2 yrs post)","-.0329712**",".005063"
"",".0129737",".0235103"
"τ = +2 (2-3 yrs post)","-.029123","-.0347979*"
"",".0186716",".019068"
"τ = +3 (3-4 yrs post)","-.0111152","-.0296348"
"",".0264472",".0231714"
"τ = +4 (4+ yrs post)",".0031516","-.0275415"
"",".0386727",".0225596"
"Observations","228,002","228,002"
"Within R²","0.0021","0.0002"
