"","ln(Policies)","ln(Claims)"
"","b/se","b/se"
"τ = -4 (3+ yrs pre)","-.020363","-.0290315*"
"",".0218274",".0154441"
"τ = -3 (2-3 yrs pre)","-.0181436","-.0316766"
"",".0160163",".026223"
"τ = -2 (1-2 yrs pre)","-.0086878","-.0198043"
"",".0094663",".0185261"
"τ = 0 (0-1 yr post)","-.0164544","-.0024206"
"",".0117115",".01931"
"τ = +1 (1-2 yrs post)","-.03229**",".0012058"
"",".012568",".0236672"
"τ = +2 (2-3 yrs post)","-.028881","-.0379176*"
"",".0183606",".0199167"
"τ = +3 (3-4 yrs post)","-.0108141","-.0311645"
"",".0263134",".0248835"
"τ = +4 (4+ yrs post)",".0029119","-.0306373"
"",".037478",".0230708"
"Observations","216,776","216,776"
"Within R²","0.0019","0.0002"
