"","Control","Treated","Difference"
"Home Value (Dec 2022 $)","479978.01","465100.86","14877.15"
"Population","21339.46","25007.24","-3667.77***"
"Pop. Density (per sq mi)","2196.20","1340.88","855.32***"
"County Unemp. Rate (%)","6.49","6.81","-0.33***"
"NFIP Policies (qtr avg)","63.70","86.22","-22.52***"
"NFIP Avg Premium ($)","691.28","764.90","-73.62***"
"SFHA Zone Share","0.33","0.39","-0.05***"
"NFIP Claims (qtr avg)","1.13","1.36","-0.23"
