tau,coef,se,ci_lo,ci_hi
-4,.36024943,.62520641,-.8651551,1.5856539
-3,-.19782148,.30885398,-.80317533,.40753236
-2,-.3740578,.21712148,-.79961592,.051500294
-1,0,0,0,0
0,.014806421,.31668031,-.605887,.63549984
+1,-.85242182,.43949437,-1.7138307,.0089871706
+2,-1.6469076,1.0079048,-3.622401,.32858583
+3,-3.3334005,1.1684126,-5.6234889,-1.043312
+4,-7.5787654,2.8566418,-13.177783,-1.9797475
