tau,coef,se,ci_lo,ci_hi
-4,-.0064920904,.0090022143,-.024136432,.01115225
-3,.002829887,.0059652994,-.0088620996,.014521874
-2,-.002049596,.0031529719,-.0082294205,.0041302284
-1,0,0,0,0
0,.002579835,.0035307817,-.0043404973,.0095001673
+1,.00028181073,.0049860734,-.0094908932,.010054515
+2,-.0016995335,.0075328695,-.016463958,.01306489
+3,-.0035485292,.0095549915,-.022276312,.015179253
+4,-.017172445,.01270794,-.042080007,.0077351178
