tau,coef,se,ci_lo,ci_hi
-4,.0055873757,.015585084,-.024959387,.036134139
-3,-.055418693,.029663298,-.11355875,.0027213737
-2,-.033439912,.02619639,-.084784836,.017905012
-1,0,0,0,0
0,-.049543116,.028865747,-.10611998,.007033749
+1,-.087037705,.04198198,-.16932239,-.0047530276
+2,-.067824244,.049458086,-.16476209,.029113609
+3,.025478572,.037801497,-.048612364,.099569507
+4,-.082878694,.020301852,-.12267033,-.043087061
