tau,coef,se,ci_lo,ci_hi
-4,.19943739,.88094956,-1.5272237,1.9260985
-3,.45253477,.34076807,-.21537068,1.1204402
-2,-.10408949,.28589261,-.66443896,.45626
-1,0,0,0,0
0,-.19596659,.4348819,-1.0483351,.65640193
+1,-1.6971525,.49614584,-2.6695983,-.72470665
+2,-2.8271844,.9211697,-4.6326771,-1.0216919
+3,-4.0118542,1.0289491,-6.0285945,-1.9951138
+4,-7.7151046,2.5389071,-12.691362,-2.7388465
