tau,coef,se,ci_lo,ci_hi
-4,-.014342456,.026690312,-.066655464,.037970554
-3,-.024989346,.019115532,-.062455788,.012477096
-2,-.0099592777,.0095051639,-.0285894,.0086708432
-1,0,0,0,0
0,-.015192979,.014153216,-.042933282,.012547324
+1,-.034548573,.014442154,-.062855199,-.0062419511
+2,-.031095777,.019856527,-.070014566,.0078230156
+3,-.0080760261,.02950806,-.065911822,.049759772
+4,.00320426,.043078288,-.08122918,.087637708
