tau,coef,se,ci_lo,ci_hi
-4,.49675411,.90410966,-1.2753007,2.2688091
-3,1.0113424,1.0316006,-1.0105947,3.0332794
-2,.061736807,.55578935,-1.0276103,1.1510839
-1,0,0,0,0
0,-.31965414,.46306002,-1.2272518,.58794343
+1,-1.3795625,1.4442425,-4.2102776,1.4511527
+2,-1.4440622,1.9239471,-5.2149987,2.326874
+3,-1.1916958,1.8732432,-4.8632526,2.479861
+4,.092228413,2.2701981,-4.3573599,4.5418167
