"","ln(Policies)","ln(Claims)"
"","b/se","b/se"
"τ = -4 (3+ yrs pre)","-.0143425","-.0267571"
"",".0266903",".0164078"
"τ = -3 (2-3 yrs pre)","-.0249893","-.0272891"
"",".0191155",".0278339"
"τ = -2 (1-2 yrs pre)","-.0099593","-.0131298"
"",".0095052",".01874"
"τ = 0 (0-1 yr post)","-.015193",".0105361"
"",".0141532",".0223866"
"τ = +1 (1-2 yrs post)","-.0345486**",".0050623"
"",".0144422",".025794"
"τ = +2 (2-3 yrs post)","-.0310958","-.0388774*"
"",".0198565",".0216859"
"τ = +3 (3-4 yrs post)","-.008076","-.0253707"
"",".0295081",".0253477"
"τ = +4 (4+ yrs post)",".0032043","-.0248335"
"",".0430783",".0247191"
"Observations","127,790","127,790"
"Within R²","0.0022","0.0002"
