tau,coef,se,ci_lo,ci_hi
-4,-.0078905318,.017248945,-.041698463,.025917402
-3,-.058020633,.035914429,-.12841292,.012371645
-2,-.051152896,.029346967,-.10867295,.0063671595
-1,0,0,0,0
0,-.047485448,.033010434,-.1121859,.017215002
+1,-.10335122,.055747066,-.21261548,.0059130224
+2,-.075009845,.060093809,-.19279371,.042774022
+3,.0095695518,.044131428,-.076928049,.096067145
+4,-.082035773,.0229006,-.12692095,-.037150599
