tau,coef,se,ci_lo,ci_hi
-4,-.0092862733,.0086088916,-.0261597,.0075871539
-3,.0022595595,.005477712,-.0084767565,.012995875
-2,-.00070806011,.0035929994,-.0077503389,.0063342187
-1,0,0,0,0
0,-.0016766608,.002738907,-.0070449184,.0036915969
+1,-.0077099535,.0048559904,-.017227694,.0018077876
+2,-.012368561,.0070178634,-.026123572,.0013864507
+3,-.016817916,.0080535123,-.032602798,-.0010330314
+4,-.030587845,.0130779,-.056220528,-.0049551618
